State           Win Chance      Roll 2          Roll 3          Roll 4          Roll 5          Roll 6          Roll 7          Roll 8          Roll 9          Roll 10         Roll 11         Roll 12        
000010111010    0.05772         [2]             None            [4]             [5]             [6]             [2, 5]          [8]             [4, 5]          [4, 6]          [5, 6]          [4, 8]         
000010111011    0.09359         [2]             [1, 2]          [4]             [5]             [6]             [1, 6]          [8]             [1, 8]          [4, 6]          [5, 6]          [4, 8]         
000010111100    0.05125         None            [3]             [4]             [5]             [6]             [3, 4]          [8]             [4, 5]          [4, 6]          [3, 8]          [4, 8]         
000010111101    0.08096         None            [3]             [4]             [5]             [6]             [3, 4]          [8]             [1, 8]          [4, 6]          [3, 8]          [4, 8]         
000010111110    0.08045         [2]             [3]             [4]             [5]             [6]             [2, 5]          [8]             [3, 6]          [2, 8]          [3, 8]          [4, 8]         
000010111111    0.10948         [2]             [3]             [4]             [5]             [6]             [2, 5]          [8]             [1, 8]          [2, 8]          [3, 8]          [4, 8]         
000011000000    0.04630         None            None            None            None            None            [7]             [8]             None            None            None            None           
000011000001    0.05633         None            None            None            None            None            [7]             [1, 7]          [1, 8]          None            None            None           
000011000010    0.06250         [2]             None            None            None            None            [7]             [8]             [2, 7]          [2, 8]          None            None           
000011000011    0.06642         [2]             [1, 2]          None            None            None            [7]             [8]             [1, 8]          [1, 2, 7]       [1, 2, 8]       None           
000011000100    0.04938         None            [3]             None            None            None            [7]             [8]             None            [3, 7]          [3, 8]          None           
000011000101    0.06417         None            [3]             [1, 3]          None            None            [7]             [8]             [1, 8]          [3, 7]          [1, 3, 7]       [1, 3, 8]      
000011000110    0.05590         [2]             [3]             None            [2, 3]          None            [7]             [8]             [2, 7]          [2, 8]          [3, 8]          [2, 3, 7]      
000011000111    0.08086         [2]             [3]             [1, 3]          [2, 3]          [1, 2, 3]       [7]             [8]             [1, 8]          [2, 8]          [3, 8]          [1, 3, 8]      
000011001000    0.03627         None            None            [4]             None            None            [7]             [8]             None            None            [4, 7]          [4, 8]         
000011001001    0.04958         None            None            [4]             [1, 4]          None            [7]             [8]             [1, 8]          None            [4, 7]          [1, 4, 7]      
000011001010    0.05273         [2]             None            [4]             None            [2, 4]          [7]             [8]             [2, 7]          [2, 8]          [4, 7]          [4, 8]         
000011001011    0.08282         [2]             [1, 2]          [4]             [1, 4]          [2, 4]          [7]             [8]             [1, 8]          [2, 8]          [1, 2, 8]       [4, 8]         
000011001100    0.03554         None            [3]             [4]             None            None            [7]             [8]             None            [3, 7]          [3, 8]          [4, 8]         
000011001101    0.05783         None            [3]             [4]             [1, 4]          None            [7]             [8]             [1, 8]          [3, 7]          [3, 8]          [4, 8]         
000011001110    0.06842         [2]             [3]             [4]             [2, 3]          [2, 4]          [7]             [8]             [2, 7]          [3, 7]          [3, 8]          [4, 8]         
000011001111    0.09544         [2]             [3]             [4]             [1, 4]          [2, 4]          [7]             [8]             [1, 8]          [3, 7]          [3, 8]          [4, 8]         
000011010000    0.02315         None            None            None            [5]             None            [7]             [8]             None            None            None            [5, 7]         
000011010001    0.04424         None            None            None            [5]             [1, 5]          [7]             [8]             [1, 8]          None            None            [5, 7]         
000011010010    0.03811         [2]             None            None            [5]             None            [7]             [8]             [2, 7]          [2, 8]          None            [5, 7]         
000011010011    0.07029         [2]             [1, 2]          None            [5]             [1, 5]          [7]             [8]             [2, 7]          [2, 8]          [1, 2, 8]       [5, 7]         
000011010100    0.03134         None            [3]             None            [5]             None            [7]             [8]             None            [3, 7]          [3, 8]          [5, 7]         
000011010101    0.06622         None            [3]             [1, 3]          [5]             [1, 5]          [7]             [8]             [1, 8]          [3, 7]          [3, 8]          [1, 3, 8]      
000011010110    0.04596         [2]             [3]             None            [5]             None            [7]             [8]             [2, 7]          [2, 8]          [3, 8]          [5, 7]         
000011010111    0.08713         [2]             [3]             [1, 3]          [5]             [1, 5]          [7]             [8]             [1, 8]          [2, 8]          [3, 8]          [5, 7]         
